game_id,season,season_type,game_date
0022500659,2025-26,Regular Season,2026-01-26
0022500657,2025-26,Regular Season,2026-01-26
0022500658,2025-26,Regular Season,2026-01-26
0022500660,2025-26,Regular Season,2026-01-26
0022500661,2025-26,Regular Season,2026-01-26
0022500662,2025-26,Regular Season,2026-01-26
0022500663,2025-26,Regular Season,2026-01-26
0022500659,2025-26,Regular Season,2026-01-27
0022500657,2025-26,Regular Season,2026-01-27
0022500658,2025-26,Regular Season,2026-01-27
0022500660,2025-26,Regular Season,2026-01-27
0022500661,2025-26,Regular Season,2026-01-27
0022500662,2025-26,Regular Season,2026-01-27
0022500663,2025-26,Regular Season,2026-01-27
0022500659,2025-26,Regular Season,2025-10-01
0022500657,2025-26,Regular Season,2025-10-01
0022500658,2025-26,Regular Season,2025-10-01
0022500660,2025-26,Regular Season,2025-10-01
0022500661,2025-26,Regular Season,2025-10-01
0022500662,2025-26,Regular Season,2025-10-01
0022500663,2025-26,Regular Season,2025-10-01
0022500659,2025-26,Regular Season,2025-10-02
0022500657,2025-26,Regular Season,2025-10-02
0022500658,2025-26,Regular Season,2025-10-02
0022500660,2025-26,Regular Season,2025-10-02
0022500661,2025-26,Regular Season,2025-10-02
0022500662,2025-26,Regular Season,2025-10-02
0022500663,2025-26,Regular Season,2025-10-02
0022500659,2025-26,Regular Season,2025-10-03
0022500657,2025-26,Regular Season,2025-10-03
0022500658,2025-26,Regular Season,2025-10-03
0022500660,2025-26,Regular Season,2025-10-03
0022500661,2025-26,Regular Season,2025-10-03
0022500662,2025-26,Regular Season,2025-10-03
0022500663,2025-26,Regular Season,2025-10-03
0022500659,2025-26,Regular Season,2025-10-04
0022500657,2025-26,Regular Season,2025-10-04
0022500658,2025-26,Regular Season,2025-10-04
0022500660,2025-26,Regular Season,2025-10-04
0022500661,2025-26,Regular Season,2025-10-04
0022500662,2025-26,Regular Season,2025-10-04
0022500663,2025-26,Regular Season,2025-10-04
0022500659,2025-26,Regular Season,2025-10-05
0022500657,2025-26,Regular Season,2025-10-05
0022500658,2025-26,Regular Season,2025-10-05
0022500660,2025-26,Regular Season,2025-10-05
0022500661,2025-26,Regular Season,2025-10-05
0022500662,2025-26,Regular Season,2025-10-05
